Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Phi Phi Andaman Beach Resort (SHA Extra Plus),112,3 star,"7.3
Very good
1,673 reviews","English, Malay, Thai","1,673 reviews","65 Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,6,7.1,7.0,7.9,6.7,7.4
Villa 360 Resort and Spa (SHA Certified),JMI,4 star,"8.0
Excellent
791 reviews","English, Malay, Thai",791 reviews,"58 Moo 8 Auoynang Muang, Loh Ba Gao, Ko Phi Phi, Thailand, 81210",1,220,33,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,0,8.8,7.6,8.1,8.1,8.8
Phi Phi Cozy Seafront Resort,48,1.5 star,"7.0
Very good
623 reviews","English, Burmese, Lao, Malay, Thai",623 reviews,"Ao Lo Dalam, Ko Phi Phi, Thailand",,,,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,0,6.6,6.3,7.4,5.6,7.2
Coco's Guesthouse,38,1.5 star,"6.9
Good
759 reviews","English, Filipino, Thai",759 reviews,"224 M .7 Koh Phi Phi,, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",2,29,0,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,0,6.3,5.8,7.0,5.5,7.3
Harmony House (SHA Extra Plus),38,2 star,"6.6
Good
861 reviews","English, Thai",861 reviews,"Moo 7 Koh Phi Phi Aonang Muang Krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",1,220,30,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,6.3,5.7,7.4,5.7,7.0
P.P. Blue Sky Resort (SHA Extra Plus),229,3 star,"8.1
Excellent
670 reviews","English, Thai",670 reviews,"138/2 Moo 7 Aonang, Muang, Long Beach, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0,8.0,7.4,9.0,6.2,8.2
PP Mountain Beach Resort and Waterpark,148,3 star,"6.8
Good
408 reviews","English, Thai",408 reviews,"191 Moo 7 Aonang, Muang, Krabi, Long Beach, Ko Phi Phi, Thailand, 81210",3,62,2,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,0,7.6,6.8,5.6,7.1,6.6
Tropical Garden Bungalow,58,2.5 star,"6.6
Good
1,267 reviews","English, Hebrew, Thai","1,267 reviews","Ao Lo Dalam, Ko Phi Phi, Thailand",,,,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,0,5.8,6.2,6.8,5.4,7.0
JJ Residence,140,3 star,"7.8
Very good
1,951 reviews","English, Thai","1,951 reviews","95 Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,8.2,7.4,8.5,7.8,7.7
Marine House,72,2.5 star,"6.2
Good
425 reviews","English, Italian, Thai",425 reviews,"Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,0,5.5,5.2,8.2,5.5,6.1
Ivory Phi Phi Island Hotel,108,2.5 star,"7.9
Very good
1,087 reviews","English, Thai","1,087 reviews","194/1 M.7 Tambol Ao-Nang, Amphur Maung, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,0,8.1,6.8,8.5,7.7,7.7
Chunut House Resort (SHA Plus+),146,3 star,"7.1
Very good
602 reviews","English, Thai",602 reviews,"Moo 7, Phi Phi Don Village, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,0,6.8,6.3,6.7,7.2,7.1
Uphill Cottage,91,2 star,"7.5
Very good
1,379 reviews","English, Thai","1,379 reviews","Moo 7 Aonang Krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",220,,2013,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,0,6.8,6.4,6.9,6.0,6.8
Phi Phi Bayview Premier Resort,137,3 star,"7.7
Very good
505 reviews","English, Filipino, Thai",505 reviews,"69/1 Moo 7, Leam Hin Beach, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,0,7.7,7.1,8.2,7.1,7.8
Phi Phi Paradise Hostel,55,5 star,"7.1
Very good
233 reviews","English, Thai",233 reviews,"139/26 Moo.7 Phi Phi Island Aonang Muang Krabi, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0,7.4,6.5,8.3,8.0,7.6
Phi Phi Sea Sky Resort,148,3 star,"6.4
Good
239 reviews","English, Thai",239 reviews,"74/1 Moo 7, T. Ao-Nang, Hin Poo Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,0,6.9,5.9,5.5,6.7,7.2
Kitty Guesthouse,70,1.5 star,"7.8
Very good
640 reviews","English, Thai",640 reviews,"244/9 moo 7 aonang muang krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0,8.0,7.5,7.3,7.4,9.2
RC Guest House,59,2 star,"6.9
Good
179 reviews","English, Thai",179 reviews,"182 m.7 t.aonang muang krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,0,6.5,7.0,8.0,4.8,7.2
Phi Phi Sea and Hill,53,4.5 star,"5.9
Review score
339 reviews","English, Thai",339 reviews,"Ao Lo Dalam, Ko Phi Phi, Thailand",,,,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,0,5.9,5.7,5.7,7.2,6.4
Phi Phi Blue Lagoon,63,0 star,"7.1
Very good
22 reviews","English, Thai",22 reviews,"Moo 7, Ao Lo Dalam, Ko Phi Phi, Thailand, 81210",,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,6.5,5.8,8.4,6.4,8.5
Dee Dee Sea Front,38,2.5 star,"9.3
Exceptional
110 reviews","English, Thai",110 reviews,"211 Moo 7 Koh Phi Phi Aonang Muang Krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81210",,,,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,9.6,9.1,9.1,9.8,9.2
Phi Phi Ocean Club,49,0 star,"6.5
Good
132 reviews",English,132 reviews,"Moo.7 Aonang Muang, Loh Dalum, Koh Phi Phi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,6.0,5.7,8.4,6.0,7.8
PP Natural Hill,60,0 star,"7.3
Very good
227 reviews","English, Thai",227 reviews,"250 Moo 7 Aonang Muang Krabi District, Krabi. Thailand., Ao Lo Dalam, Ko Phi Phi, Thailand, 81210",,,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0,7.1,6.8,6.9,7.2,9.1
Phi Phi Ba Kao Bay Resort,101,3 star,"7.5
Very good
147 reviews","English, Thai",147 reviews,"Moo 8 (Koh Phi Phi) Aonang Muang Krabi, Loh Ba Gao, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,0,7.7,6.9,7.7,7.8,8.1
Phi Phi Rimlay Cottage,136,1.5 star,"7.6
Very good
455 reviews","English, Thai",455 reviews,"1 Moo 7 (Tonsai Bay) Aonang Muang Krabi, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",,,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,7.0,5.5,7.0,6.7,7.2
