Name,Price,Stars,Score,SpokenLanguages,Reviews,Location,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score,Origin
Tini Kati Hostel,94,2.0,8.4,"English, Chinese [Mandarin], German, Thai",304,"5/10 Soi Silom 3 (Soi Pipat), Silom, Bang Rak District, Silom, Bangkok, Thailand, 10500",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.0,8.4,8.0,8.7,8.4,8.6,Bangkok
Hotel White Lodge,84,2.0,7.8,"English, Thai",347,"36/8 Soi Kasamsan1, Wangmai, Pathumwan bangkok thailand (BTS national stadium Station), Siam, Bangkok, Thailand, 10400",0,0,0,0,0,0,0,1,0,1,0,1,0,0,4.0,7.5,6.7,8.9,8.2,7.9,Bangkok
The Riche Boutique Hotel Don Mueang Airport (SHA Plus+),89,4.0,7.6,"English, Chinese [Mandarin], Thai",825,"111 Shinakhet 2/40 Ngamwongwan Rd. Thungsonghang Laksi Bangkok, Thailand, Don Mueang International Airport, Bangkok, Thailand, 10210",0,0,0,0,1,1,1,1,0,1,1,1,1,0,17.0,7.7,7.3,7.8,7.3,7.7,Bangkok
Dazzle Residences,186,4.0,7.8,"English, Arabic, Filipino, Thai",672,"Sukhumvit, Bangkok, Thailand",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.0,6.8,6.9,7.9,7.1,7.3,Bangkok
Siam Nitra Boutique Hotel,183,3.0,7.9,"English, Thai",406,"342/1 Phayathai Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Siam, Bangkok, Thailand, 10400",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,8.1,7.7,8.6,8.1,7.4,Bangkok
OYO 318 PakD Resort (Vaccinated Staff),112,2.0,7.9,"English, Thai",153,"21, Soi Ramintha 34 Yu Yen Road, Ladprao, Bangkok, 10230, Don Mueang International Airport, Bangkok, Thailand, 10230",0,0,0,1,0,1,0,1,0,1,0,1,0,0,0.0,7.9,7.6,7.8,8.0,7.9,Bangkok
Amanah Bangkok,99,3.0,8.5,"English, Thai",283,"262 Soi Somdet Phra Chao Tak Sin 4, Thonburi, Bangkok, Thailand, 10600",1,0,0,1,0,1,0,1,0,0,0,1,0,0,4.0,9.0,8.4,8.2,8.5,9.0,Bangkok
A Sleep Bangkok Sathorn,64,3.0,8.1,"English, Thai",567,"88, Soi Sathorn 9 Sathorn Road, Sathorn, Bangkok, Thailand, 10120",0,0,0,0,0,1,0,1,0,0,0,1,0,0,6.0,8.3,7.5,8.0,8.1,8.6,Bangkok
Mind Day Hostel Khaosan,55,1.5,8.3,"English, Burmese, Hindi, Nepali, Thai",208,"214 Chakrabongse Road. Bang Lamphu, Khaosan, Bangkok, Thailand, 10200",0,0,0,1,1,1,0,1,0,0,0,1,0,0,5.0,7.9,7.7,9.1,8.5,8.4,Bangkok
Bangkok Tree House,292,3.0,7.7,"English, Thai",515,"Bang namphueng, Moo 1, Samut Prakarn, South Thonburi, Bangkok, Thailand, 10130",0,0,0,0,1,1,0,1,0,1,1,1,0,0,0.0,7.7,7.5,7.7,8.1,8.2,Bangkok
OYO 75332 VM1 Hostel,59,2.0,8.6,"English, Thai",466,"815 Phahonyothin Rd, Samsen Nai, Phaya Thai, Bangkok.10400, Thailand, Chatuchak, Bangkok, Thailand, 10400",0,0,0,0,0,0,0,1,0,0,0,1,0,0,9.0,8.8,8.3,8.7,8.9,8.7,Bangkok
Cozi Inn Hotel,86,3.0,6.9,"English, Burmese, Hindi, Lao, Nepali, Thai",991,"122/32-34 Rachaprarop Rd. Phayathai, Rachthewi, Pratunam, Bangkok, Thailand, 10400",0,0,0,0,0,1,0,1,0,1,1,1,1,0,18.0,6.4,6.1,7.7,6.4,6.9,Bangkok
Sribumpen Plus (SHA Certified),76,2.0,7.8,"English, Thai",665,"32/1 Soi Sri Bumpen Rama4 Sathorn, Sathorn, Bangkok, Thailand, 10120",0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.0,8.5,7.0,7.6,7.5,7.7,Bangkok
The Pantip Hotel Ladprao,64,4.0,8.0,"English, Thai",515,"3191/1-428,127 Ladprao Road, Klongchan, Bang Kapi, Bangkok, Thailand, 10240",0,0,0,0,0,1,1,1,0,0,0,1,0,0,3.0,8.0,7.6,8.0,8.4,8.1,Bangkok
Everyday Bangkok Hostel,31,2.0,8.5,"English, Thai",283,"1-3 Sap road, Siphraya, Bangrak, Silom, Bangkok, Thailand, 10500",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,8.8,9.0,9.4,8.7,9.7,Bangkok
Avana Hotel and Convention Centre (SHA Plus+),88,5.0,6.8,"English, Chinese [Mandarin], Thai",3297,"900 Soi Bangna-Trad 12/1 Bangna-Trad Road, Bangna District, Bang Na, Bangkok, Thailand, 10260",0,0,0,1,1,1,0,1,1,0,1,1,1,0,3.0,6.7,6.8,6.9,6.9,6.9,Bangkok
