Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
KOWTHA RIVERTEL,131,3 star,"8.2
Excellent
557 reviews","English, Thai",557 reviews,"102-108, 110-112, Charoennakorn 35 Alley, Charoennakorn, Bangkok Riverside, Bangkok, Thailand, 10600",,,,False,False,True,False,True,True,False,True,False,True,True,True,False,False,False,False,6,8.4,7.8,8.1,8.9,8.3
Hi Sotel,89,3 star,"8.9
Excellent
338 reviews","English, Thai",338 reviews,"178 Ratchawithi 18 Alley, Phaya Thai, Chatuchak, Bangkok, Thailand",,,,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,8,9.5,9.1,8.5,9.2,9.3
The Atrium Ratchada 13 Hotel,79,3 star,"7.5
Very good
4,024 reviews","English, Thai","4,024 reviews","208 Soi Ratchadaphisek 13. Ratchadaphisek Rd., Dindaeng, Ratchada, Bangkok, Thailand, 10400",,,,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,9,7.8,7.0,7.9,7.4,7.5
Royal Orchid Sheraton Hotel & Towers,484,5 star,"8.6
Excellent
2,738 reviews","English, Chinese [Mandarin], Dutch, French, German, Japanese, Thai, Turkish","2,738 reviews","2 Charoen Krung Road Soi 30 (Captain Bush Lane), Bangkok Riverside, Bangkok, Thailand, 10500",28,726,3,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,4,8.8,8.5,8.8,8.7,8.8
Rezt Bangkok,73,3 star,"8.6
Excellent
3,111 reviews","English, Chinese [Mandarin], Lao, Thai","3,111 reviews","75 Soi 22, Sukhumvit Rd., Klongton, Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",,,,True,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,10,9.1,8.2,7.9,8.7,8.9
Mok Mek 72,49,4 star,"7.9
Very good
550 reviews","English, Thai",550 reviews,"Ratchada, Bangkok, Thailand",,,,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,8,8.2,7.9,7.8,8.0,8.4
BRB Hostel Bangkok Silom,39,2.5 star,"8.2
Excellent
1,382 reviews","English, Chinese [Mandarin], Thai","1,382 reviews","5/8-9 Soi Silom 3 (Soi Pipat) Silom Bangrak, Silom, Bangkok, Thailand, 10500",,,,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,12,8.1,7.8,8.8,8.3,8.5
Benviar Tonson Residence,309,4 star,"8.3
Excellent
437 reviews","English, Chinese [Mandarin], French, Thai",437 reviews,"58 Soi Ton Son, Siam, Bangkok, Thailand, 10330",,,,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,3,8.4,8.0,7.7,8.5,8.5
House 116,JMI,0 star,"9.1
Exceptional
38 reviews","English, Thai",38 reviews,"116/53, Rang Nam Alley, Thanon Phaya Thai, Pathum Wan, , Pratunam, Bangkok, Thailand, 10400",,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,9.2,8.5,8.2,8.9,8.2
HOSTEL URBY,69,2 star,"9.4
Exceptional
1,137 reviews","English, Thai","1,137 reviews","1222/1 Songward Road, Chakrawud, Sumphantawong, Bangkok Riverside, Bangkok, Thailand, 10100",,,,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0,9.5,9.3,9.1,9.6,9.6
